contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
lstm/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6792666218013786,-0.6894754241642304,-0.667950893766215,0.0625,True,secondary,
lstm/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5078596052205935,,,4.999750012499375e-05,True,secondary,0.002049897505124744
lstm/noCL - transformer_cl/cat,average accuracy,CICIoMT,5,-0.56688,-0.5893400000000001,-0.5343200000000001,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,average accuracy,CICIoT,5,-0.2082,-0.2517,-0.14750000000000002,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,average accuracy,TONIoT,5,-0.35916,-0.36094,-0.35738,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.37807999999999997,,,0.00024998750062496874,True,secondary,0.004249787510624469
lstm/noCL - transformer_cl/cat,clean MCC,CICIoMT,5,-0.7719499234750271,-0.8108719452088516,-0.7281656416090753,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,clean MCC,CICIoT,5,-0.43317652679364704,-0.5315018237297938,-0.29556984174847567,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,clean MCC,TONIoT,5,-0.8020818396308899,-0.8081329407097779,-0.7960307385520018,0.0625,True,secondary,
lstm/noCL - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.6690694299665214,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
rdt/cat - transformer_cl/cat,average accuracy,CICIoMT,5,0.027159999999999983,0.0005399999999999849,0.06153999999999995,0.1875,False,secondary,
rdt/cat - transformer_cl/cat,average accuracy,TONIoT,5,-0.0017200000000000104,-0.005119999999999991,0.0015399999999999858,0.4375,False,secondary,
rdt/cat - transformer_cl/cat,average accuracy,STRATIFIED,10,0.012719999999999987,,,0.23488825558722065,False,secondary,1.0
rdt/cat - transformer_cl/cat,clean MCC,CICIoMT,5,0.035137802296581436,0.00011059473056527214,0.07944535479369005,0.3125,True,secondary,
rdt/cat - transformer_cl/cat,clean MCC,TONIoT,5,0.0018118921019002032,-0.0042076422597329575,0.008783819994084108,1.0,True,secondary,
rdt/cat - transformer_cl/cat,clean MCC,STRATIFIED,10,0.01847484719924082,,,0.16144192790360481,True,secondary,1.0
rdt/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.461,-0.48222000000000004,-0.43001999999999996,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.21588,-0.25792000000000004,-0.15741999999999998,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.3601599999999999,-0.36360000000000003,-0.3572,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34568,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
rdt/ewckd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.5029671178775286,-0.5355762105321034,-0.4642209313845296,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.3815682106204325,-0.47697302654429186,-0.2544706938734083,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6687589562025524,-0.6750343177816077,-0.6621366656423544,0.0625,True,secondary,
rdt/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5177647615668378,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer/noCL/noAT - transformer_cl/cat,average accuracy,CICIoMT,5,-0.44966000000000006,-0.4779,-0.40515999999999996,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,average accuracy,CICIoT,5,-0.2476,-0.29235999999999995,-0.1876,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,average accuracy,TONIoT,5,-0.3638,-0.36941999999999997,-0.35936,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.35368666666666665,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer/noCL/noAT - transformer_cl/cat,clean MCC,CICIoMT,5,-0.47530024324472875,-0.5145362765594327,-0.4282312476292418,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,clean MCC,CICIoT,5,-0.3344913771965987,-0.42471929647331635,-0.2103551261262493,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,clean MCC,TONIoT,5,-0.6730660017986975,-0.704396095034157,-0.6497577370697566,0.0625,True,secondary,
transformer/noCL/noAT - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.4942858740800083,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer_cl/bic - transformer_cl/cat,average accuracy,CICIoMT,5,-0.03124,-0.07932000000000002,0.015320000000000023,0.625,True,secondary,
transformer_cl/bic - transformer_cl/cat,average accuracy,CICIoT,5,-0.48625999999999997,-0.55824,-0.4084199999999999,0.0625,True,secondary,
transformer_cl/bic - transformer_cl/cat,average accuracy,TONIoT,5,-0.051900000000000016,-0.0568,-0.0464,0.0625,True,secondary,
transformer_cl/bic - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.1898,,,0.0004999750012499375,True,secondary,0.007499625018749062
transformer_cl/bic - transformer_cl/cat,clean MCC,CICIoMT,5,-0.007965209937863049,-0.06426103703506894,0.04833061715934284,0.8125,True,secondary,
transformer_cl/bic - transformer_cl/cat,clean MCC,CICIoT,5,-0.2005911775012373,-0.3604053211713316,-0.04077703383114299,0.125,True,secondary,
transformer_cl/bic - transformer_cl/cat,clean MCC,TONIoT,5,-0.00652675911018199,-0.015974935392248833,0.003174201418639333,0.3125,True,secondary,
transformer_cl/bic - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.07169438218309411,,,0.08699565021748913,True,secondary,0.7829608519574022
transformer_cl/ewc - transformer_cl/cat,average accuracy,CICIoMT,5,-0.57896,-0.6714199999999999,-0.4838,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,average accuracy,CICIoT,5,-0.5416399999999999,-0.58514,-0.48091999999999996,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,average accuracy,TONIoT,5,-0.55492,-0.7519600000000001,-0.35788,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.5585066666666667,,,0.00014999250037498125,True,secondary,0.0034498275086245686
transformer_cl/ewc - transformer_cl/cat,clean MCC,CICIoMT,5,-0.7122268368383046,-0.8043828189352584,-0.588310690842462,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,clean MCC,CICIoT,5,-0.43317652679364704,-0.5315018237297938,-0.3067273725070617,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,clean MCC,TONIoT,5,-0.8020818396308899,-0.8081329407097779,-0.7960307385520018,0.0625,True,secondary,
transformer_cl/ewc - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.6491617344209472,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer_cl/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.46708,-0.49192,-0.43450000000000005,0.0625,True,secondary,
transformer_cl/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.21039999999999998,-0.2547,-0.1479,0.0625,True,secondary,
transformer_cl/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.3606,-0.36393999999999993,-0.35718000000000005,0.0625,True,secondary,
transformer_cl/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34602666666666665,,,0.000199990000499975,True,secondary,0.004199790010499475
transformer_cl/ewckd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.512308976198834,-0.5485318841413724,-0.46998084204883206,0.0625,True,secondary,
